lead_id,lead_created_ts,lead_source_raw,raw_campaign_name,customer_type,preferred_unit_type,budget_min,budget_max,lead_score,assigned_exec_id,project_id,project_name,city
L000001,18-05-2025 07:59,Facebook Ads,FB_Q1,End User,Villa,3000000,13000000,19,E12,P4,UrbanNest,Pune
L000002,13-04-2024 22:21,Google Ads,Organic,End User,3BHK,4500000,10000000,21,E27,P2,SkyHeights,Bengaluru
L000003,02-06-2025 04:22,MagicBricks,FB_Q1,End User,3BHK,4500000,10000000,56,E18,P1,GreenVista,Bengaluru
L000004,24-09-2024 14:17,MagicBricks,FB_Q1,End User,2BHK,4500000,10000000,7,E03,P5,PalmResidency,Pune
L000005,18-01-2024 21:38,Facebook Ads,Organic,End User,3BHK,8000000,6000000,78,E21,P1,GreenVista,Bengaluru
L000006,03-04-2025 17:52,Facebook Ads,FB_Q2,Investor,2BHK,3000000,10000000,44,E25,P2,SkyHeights,Bengaluru
L000007,27-02-2024 03:22,Referral,Organic,End User,3BHK,8000000,13000000,47,E21,P5,PalmResidency,Pune
L000008,14-03-2024 01:26,Referral,FB_Q1,End User,2BHK,4500000,10000000,35,E01,P5,PalmResidency,Pune
L000009,29-06-2025 14:58,Google Ads,FB_Q1,End User,Villa,3000000,13000000,50,E14,P1,GreenVista,Bengaluru
L000010,23-10-2024 16:04,Google Ads,Referral_Partner,Investor,3BHK,3000000,13000000,39,E24,P1,GreenVista,Bengaluru
L000011,29-01-2024 12:57,MagicBricks,Organic,Investor,3BHK,3000000,8000000,47,E11,P2,SkyHeights,Bengaluru
L000012,01-12-2024 03:18,Referral,Google_Search,End User,2BHK,4500000,6000000,72,E27,P2,SkyHeights,Bengaluru
L000013,01-04-2024 20:55,MagicBricks,FB_Q2,End User,3BHK,8000000,6000000,85,E07,P3,LakeFront,Hyderabad
L000014,09-01-2024 14:42,Google Ads,FB_Q1,Investor,2BHK,3000000,10000000,46,E12,P3,LakeFront,Hyderabad
L000015,02-03-2025 08:18,99acres,FB_Q1,End User,3BHK,6000000,8000000,41,E27,P2,SkyHeights,Bengaluru
L000016,01-12-2024 05:45,99acres,FB_Q2,End User,3BHK,6000000,10000000,55,E15,P2,SkyHeights,Bengaluru
L000017,21-06-2024 04:48,99acres,FB_Q1,End User,2BHK,6000000,13000000,18,E06,P1,GreenVista,Bengaluru
L000018,25-01-2024 19:22,Google Ads,Referral_Partner,End User,3BHK,3000000,8000000,50,E09,P5,PalmResidency,Pune
L000019,15-07-2024 14:40,Referral,Google_Search,End User,3BHK,3000000,8000000,41,E08,P2,SkyHeights,Bengaluru
L000020,15-08-2024 14:26,Google Ads,FB_Q2,Investor,2BHK,3000000,10000000,71,E12,P2,SkyHeights,Bengaluru
L000021,11-04-2025 06:37,Walk-in,FB_Q2,End User,2BHK,8000000,13000000,9,E07,P5,PalmResidency,Pune
L000022,05-02-2024 21:45,Walk-in,FB_Q2,End User,2BHK,4500000,8000000,53,E07,P4,UrbanNest,Pune
L000023,27-12-2024 22:48,Google Ads,Referral_Partner,End User,Villa,4500000,6000000,60,E05,P5,PalmResidency,Pune
L000024,30-03-2025 03:23,Walk-in,Google_Search,Investor,Villa,4500000,6000000,52,E11,P2,SkyHeights,Bengaluru
L000025,05-03-2025 07:07,99acres,FB_Q1,Investor,3BHK,4500000,8000000,7,E19,P3,LakeFront,Hyderabad
L000026,11-03-2024 22:20,Walk-in,Organic,End User,3BHK,8000000,8000000,86,E30,P2,SkyHeights,Bengaluru
L000027,09-04-2024 11:39,Referral,FB_Q2,End User,2BHK,3000000,13000000,65,E15,P4,UrbanNest,Pune
L000028,07-11-2024 15:40,Referral,FB_Q2,End User,3BHK,4500000,8000000,78,E19,P2,SkyHeights,Bengaluru
L000029,25-01-2024 03:14,Google Ads,Google_Search,End User,Villa,6000000,8000000,40,E17,P2,SkyHeights,Bengaluru
L000030,09-03-2025 12:04,Walk-in,Referral_Partner,Investor,Villa,6000000,10000000,60,E18,P1,GreenVista,Bengaluru
L000031,06-03-2025 12:19,Google Ads,FB_Q1,Investor,2BHK,4500000,13000000,43,E30,P5,PalmResidency,Pune
L000032,24-04-2024 07:21,MagicBricks,Organic,Investor,3BHK,3000000,13000000,58,E02,P1,GreenVista,Bengaluru
